Security Affairs	32842
Jeff Barr	5280
Mikko Hypponen	3476
Eugene Kaspersky	2208
Helena Edelson	1551
Joshua Corman	1420
the grugq	1364
Kevin Mitnick	1295
Julian Oliver	945
James Ball	712
Sinthetic Labs	693
Katie Moussouris	629
Natalie Sambhi	604
Richard Bejtlich	600
Chris Wysopal	571
Matt Johansen	532
Jeremi M Gosney	493
hashcat	476
Ben Rothke	445
Lenny Zeltser	417
Dejan Kosutic	409
Jeremiah Grossman	359
ZixCorp	337
the grugq 	328
Eric Chabrow	312
Raffael Marty	303
Threatpost	298
Dan Kaminsky	297
Saumil Shah	281
briankrebs	278
BrianHonan	242
Christopher Soghoian	233
ITW 	231
Dr. Anton Chuvakin	225
Jennifer Minella	215
Graham Cluley	214
Help Net Security	205
Randy Bias	196
edskoudis	186
The Dark Tangent	170
Cesar Cerrudo	155
DevOpsDays DC	149
Steve Wozniak	148
Freescale	148
Tuxotron	148
RSA Conference	141
Paul Roberts	139
InfoSec Taylor Swift	139
Charlie Miller	136
Andrew Hay	131
Scott Eddy 	126
Tom Field	122
Chris Gates	122
Daniel Veditz	122
Steve Ragan	116
Mylea Charvat	112
Lubor Ptacek	112
Jason Will	112
.mudge	112
Kym McNicholas	112
Tim Strazzere	110
Jamie Allen	103
Dave Lewis	101
Scott Ian	95
DanRaywood	92
NVIDIA GeForce	90
DavidLinthicum	86
Kim Zetter	79
IOActive, Inc	79
Martin McKeay	78
Stephen Goldsmith	78
Apache Mesos	77
Robert Larsen	77
☁ David Ulevitch ☁	76
CIOsynergy	75
Adrian Hayter	75
Stefan Esser	75
AppliedTrust	73
Gene Kim	73
CSOonline 	73
Akka Team	72
Apache Spark	72
switched	72
neuwaerts.fm	72
Ingo Stoll	72
Typesafe	72
Apache Kafka	72
Larry Walsh	68
WIRED	67
ICIJ	64
BillBrenner70	63
Dr. Eric Cole	63
Justin Case	61
Denis Makrushin	61
Chris Roberts	61
David	61
Troels Oerting 	61
anfractuosity	60
Geoff Casely	60
Matt Fuller	60
Marco Ostini	60
Hard Rock Hotel LV	58
Bill Gardner	57
Mario Avantini	55
I am The Cavalry	55
รՇﻉ۷ﻉ ɭ๏г๔	54
John Pacific	52
owasp	50
Larry Wong	49
Rapid7	48
botchagalupe	48
Mario Klingemann	48
Ken Johnson	48
MonetDB Team	48
Keith Pachulski	47
Nͣͥͬͩͣ̂̂̂̂̂̂̂̂̂̂̂̂̂̂	46
Sam Johnston	45
Ali Qamar	45
Zach Epstein	44
Lorenzo Franceschi B	44
SOURCE Conference	44
Danilo Poccia	44
Seth Rosenblatt	43
Immunity Inc.	43
Adam Kramer	43
Jack Daniel	41
Stu Lowe	41
Didier Stevens	40
Laurel Glen Vineyard	40
Naked Security	39
Nick Galbreath	39
Jack Jones	39
Roadtrippers	38
Wesley McGrew	37
Chris	37
The Haddad	36
Pwnie Express	36
Johnny Long	36
The Hacker News	36
Hacked Team	36
Wekanban	34
Troy Hunt	34
CSMPasscode	34
rob evans	34
Marcus Brown	34
Martin Roesch	34
Chris Valasek	33
devopsdays	33
Open Garages	33
Department of State	33
McAfee Labs	32
Xively	32
Akamai Technologies	32
OpenDNS	32
Dan Goodin	32
Jake Williams	32
Mike Murray	31
Ian Massingham	31
InfoSec World	30
Robert M. Lee	30
Coté	30
InfoSec Institute	30
RiskMathics	30
ESET	30
Jez Humble	29
PariseauTT	29
REMnux	29
Eric Hammond	28
fruux	28
ASPI	28
ANSYS, Inc.	27
OPM	27
Anonymous Press	27
Jorge Bastida	27
Sumo Logic	27
Malwarebytes	26
Dmitry Bestuzhev	26
Raj Samani	26
\m/ Ⓐrmageddon \m/	26
Razor	26
stacksmasher	25
Malbec Denis	25
Splunk	25
Caspida	25
Oona Räisänen	25
Gal Shpantzer	25
Bardessono	25
Kristina Oliver	24
Karen／明美	24
FireEye	24
LogMeIn, Inc.	24
OpenText	24
Parks and Recreation	24
1Password	24
KShow	24
Dave Whitelegg	24
Invincea, Inc.	23
Anuj Soni	23
XAVIOR	23
Peter Sunde	23
Kevin Townsend	23
Thomas Fox-Brewster	22
Damon Edwards	22
Alex Honor	22
MalwareMustDie, NPO	22
eBay	22
Chester W - Sophos	22
Houcem Hachicha	22
Martin Krasser	21
Rugged	21
National Journal	21
Landmark CIO Summit	21
ANUBellSchool	21
Joshua Wright	21
DEF CON	21
Blue Coat Systems	20
Adobe	20
Raphael Satter	20
Hugo	20
Barack Obama	20
Wendy Nather	20
Mindhunter Laura	20
bill	19
WikiLeaks	19
Justin Foster	19
Dominica DeGrandis	19
AimBrain	18
Cisco Security	18
adam shostack	18
Bastille	18
Sara Peters	18
RSnake	18
Tesla Motors	18
╭(◠‿◠)╯┳━┳	18
(ISC)2	18
Avram Marius	17
Infospectives	17
Scott J Roberts	17
Alex Hutton	17
Amazon Web Services	17
(╯°□°)╯︵ ┻━┻	17
CipherCloud	17
SecBurnout	17
ruxit	17
ange	16
Mathew J Schwartz	16
Travis Goodspeed	16
David Lang	16
Rich Mogull	16
Tarun Samtani, CISSP	16
Amplitude	16
Laura Lucchini	16
Zeljka Zorz	16
Sophos	16
Survival Tips	16
securityledger	15
Trend Micro	15
OpenDNS Labs	15
The Lowy Institute	15
Red-DragonRising	15
DevOps.com	15
111MinnaGallery	15
AtlanticCouncil	15
HackingTeam	15
Angela McKay	15
Trusted Software	15
Sandra Toms	15
peterkuper	15
James Lyne	14
NATO CCD COE	14
CrowdStrike	14
IT Hot Topics 2015	14
SlideShare	14
Santiago Pontiroli	14
Symantec Italia	14
mdowd	14
johullrich	14
DomainTools	14
Bromium	14
Duo Security	14
Symantec	14
Rob Lee	13
Mandiant	13
Banasidhe	13
EMC ScaleIO	13
IPAC	13
Michael Roytman	13
James Wickett	13
DarkReading	13
farleyscoffee	13
Amelia Long	13
Simon Harrison	13
BSides Las Vegas	13
Belt	13
Gathering Clouds	12
joernchen	12
Matt Tesauro	12
Neira Jones	12
Doug Wilson	12
Tripwire, Inc.	12
Violet Blue ®	12
The Register	12
Lee Kushner	12
✨brandon✨the✨human✨	12
Penn State News	12
RSA	12
Michael Hausenblas	12
curtis	12
Jonathan Baier	12
OssInformatica	12
Sugawara Genki	12
The 1st Brigade	12
YouTube	12
Tim Cook	11
Eddie Mize	11
Yuki Chen	11
Hoff	11
Mike_Mimoso	11
The 2112 Group	11
Stacey Higginbotham	11
Marietje Schaake	11
Rugged DevOps	11
McAfee	11
Yubico	10
☋Tang0Down☋	10
Nick Owen	10
K.Kugan	10
Irene Poetranto	10
beist	10
bact' ☂	10
Mohd Najib Tun Razak	10
Schneier Blog	10
Google	10
PCI SSC	10
Irongeek	10
DigitalRightsIreland	10
Carolina Adv Digital	10
Mike Rothman	10
securosis	10
Shawn Henry	10
Dr. Rand Paul	10
Trey	10
Jacob Torrey	10
J.M. Berger	9
BSides SF	9
@apple	9
Channy Yun(윤석찬)	9
Chelsea Daymon	9
